name,magnitude,x,y,z,spectra,color
Sol,-26.700,0.000005,0.000000,0.000000,G2V,0.656
HD 224889,4.780,14.902031,0.103716,-64.888859,K2III,1.254
HD 224935,4.370,131.716394,1.126662,-13.877167,M3III,1.631
HD 225132,4.550,79.670013,1.300177,-24.872663,B9IVn,-0.047
HD 225212,4.990,630.150175,12.379991,-116.922329,K3Ibvar,1.619
HD 28,4.610,39.287997,0.914841,-3.927804,K1III,1.029
Alpheratz,2.070,25.974572,0.951042,14.461264,B9p,-0.038
Caph,2.280,8.600014,0.344589,14.409503,F2III-IV,0.380
Gl 9.1,3.880,30.823770,1.266396,-31.665333,K0III,1.013
Gl 10,4.890,18.046958,0.887717,-5.000042,F5V,0.487
Algenib,2.830,115.664183,6.687324,31.442127,B2IV,-0.190
HD 1013,4.790,105.704826,6.744268,38.984950,M2III,1.572
HD 1038,4.440,129.488149,8.283000,-44.507481,M1III,1.640
HD 1280,4.610,73.717927,5.507828,59.184918,A2V,0.059
HD 1404,4.510,32.988623,2.643715,24.744457,A2V,0.054
HD 1522,3.560,82.880324,7.042663,-12.912353,K2III,1.214
Gl 17,4.230,3.631914,0.318885,-7.774227,F9V,0.576
Gl 19,2.820,1.635267,0.184517,-7.275205,G2IV,0.618
Gl 20,3.930,17.106924,1.964466,-16.443574,A7V,0.175
Ankaa,2.400,19.083654,2.198282,-17.483284,K0III...,1.083
HD 2429,4.860,115.288699,14.119065,-75.449377,M2/M3III,1.634
HD 2834,4.760,34.558503,4.767165,-39.854610,A0V,0.018
HD 2884,4.360,18.647710,2.582977,-36.881102,B9V,-0.064
HD 2885,4.530,23.255404,3.222589,-46.009047,A2V,0.147
HD 2772,4.740,66.529750,9.282854,94.252351,B8Vn,-0.098
HD 2905,4.170,45034.191856,6529.619087,89046.536344,B1Ia,0.130
HD 3369,4.340,150.645938,24.453844,101.857872,B5V,-0.123
HD 3360,3.690,105.743565,17.207892,146.901502,B2IV,-0.196
HD 3546,4.340,43.176578,7.332959,24.588338,G5III...,0.871
HD 3627,3.270,27.363473,4.742224,16.595166,K3III...,1.268
Shedir,2.240,37.984817,6.784483,58.379619,K0II-IIIvar,1.170
HD 3919,4.590,51.420268,9.373821,-54.285737,G8III,0.953
HD 3901,4.800,274.222888,50.904565,338.492753,B2.5V,-0.105
HD 4150,4.360,39.897951,7.638724,-63.674097,A0IV,0.024
HD 4058,4.950,35.934654,6.898434,39.272564,A5V,0.170
Diphda,2.040,27.583638,5.310463,-9.119792,K0III,1.019
HD 4188,4.770,69.103848,13.491898,-13.188762,K0IIIvar,0.998
HD 4180,4.480,140.690195,27.809754,160.874126,B5III,-0.069
HD 4502,4.080,51.755023,10.844894,23.839349,K1II,1.100
